userId;username;joinedDate
U235;douglas41;2022/08/16
U236;coxkelsey;2023/12/08
U237;pgriffith;2022/01/30
U238;baldwinscott;2023/06/09
U239;qgraham;2024/08/06
U240;wellschristy;2023/02/22
U241;meghanperry;2020/09/08
U242;alexandrabright;2022/12/27
U243;jordanpaul;2024/05/09
U244;rodriguezphyllis;2023/02/03
U245;crystalcrane;2024/06/20
U246;garywaters;2024/05/31
U247;jeffrey08;2024/04/28
U248;karenkirk;2020/11/02
U249;hhale;2024/11/27
U250;zsilva;2021/03/18
